Start Date mm/dd,End Date mm/dd,Zodiac Sign,Western Personality Traits
04/17,04/23,Aries-Taurus Cusp,Aries-Taurus (Cusp of Power): Fearless initiative meeting practical determination.
05/18,05/24,Taurus-Gemini Cusp,Taurus-Gemini (Cusp of Energy): Grounded stability meeting intellectual curiosity.
06/18,06/24,Gemini-Cancer Cusp,Gemini-Cancer (Cusp of Magic): Quick-witted communication meeting deep emotional intuition.
07/20,07/26,Cancer-Leo Cusp,Cancer-Leo (Cusp of Oscillation): Nurturing sensitivity meeting bold self-expression.
08/20,08/26,Leo-Virgo,Leo-Virgo (Cusp of Exposure): Creative leadership meeting meticulous refinement.
09/20,09/26,Virgo-Libra,Virgo-Libra (Cusp of Beauty): Analytical perfection meeting social harmony.
10/20,10/26,Libra-Scorpio,Libra-Scorpio (Cusp of Drama/Criticism): Diplomatic grace meeting intense transformative power.
11/19,11/25,Scorpio-Sagittarius,Scorpio-Sagittarius (Cusp of Revolution): Emotional depth meeting adventurous optimism.
12/19,12/25,Sagittarius-Capricorn,Sagittarius-Capricorn (Cusp of Prophecy): Philosophical vision meeting disciplined structure.
01/17,01/23,Capricorn-Aquarius,Capricorn-Aquarius (Cusp of Mystery/Imagination): Traditional ambition meeting eccentric innovation.
02/16,02/22,Aquarius-Pisces,Aquarius-Pisces (Cusp of Sensitivity): Humanitarian logic meeting spiritual imagination.
03/18,03/23,Pisces-Aries,Pisces-Aries (Cusp of Rebirth): Dreamy intuition meeting fiery new beginnings.
03/25,04/16,Aries,"Courageous, energetic, impulsive, and pioneering."
04/24,05/17,Taurus,"Reliable, patient, practical, and devoted."
05/25,06/17,Gemini,"Adaptable, outgoing, intelligent, and inquisitive."
06/25,07/19,Cancer,"Intuitive, sentimental, protective, and compassionate."
07/27,08/19,Leo,"Confident, generous, charismatic, and dramatic."
08/27,09/19,Virgo,"Analytical, hardworking, kind, and systematic."
09/27,10/19,Libra,"Diplomatic, social, fair-minded, and artistic."
10/27,11/18,Scorpio,"Resourceful, brave, passionate, and mysterious."
11/26,12/18,Sagittarius,"Optimistic, adventurous, honest, and philosophical."
12/26,01/16,Capricorn,"Disciplined, ambitious, patient, and responsible."
01/24,02/15,Aquarius,"Progressive, original, independent, and humanitarian."
02/23,03/17,Pisces,"Compassionate, artistic, intuitive, and gent"